date,total_pilgrims,band,band_name
2023-08-02,69365,2,MODERATE
2023-08-03,59898,1,LIGHT
2023-08-04,69270,2,MODERATE
2023-08-05,81472,4,HEAVY
2023-08-06,83856,4,HEAVY
2023-08-07,69733,2,MODERATE
2023-08-08,73879,3,BUSY
2023-08-09,75594,3,BUSY
2023-08-10,57443,1,LIGHT
2023-08-11,72158,3,BUSY
2023-08-12,82265,4,HEAVY
2023-08-13,84401,4,HEAVY
2023-08-14,74617,3,BUSY
2023-08-15,78726,3,BUSY
2023-08-16,75776,3,BUSY
2023-08-17,64695,2,MODERATE
2023-08-18,61904,2,MODERATE
2023-08-19,79242,3,BUSY
2023-08-20,79444,3,BUSY
2023-08-21,69909,2,MODERATE
2023-08-22,72695,3,BUSY
2023-08-23,71122,3,BUSY
2023-08-24,67308,2,MODERATE
2023-08-25,69529,2,MODERATE
2023-08-26,71073,3,BUSY
2023-08-27,71073,3,BUSY
2023-08-28,68263,2,MODERATE
2023-08-29,64214,2,MODERATE
2023-08-30,71132,3,BUSY
2023-08-31,59808,1,LIGHT
2023-09-01,67193,2,MODERATE
2023-09-02,81655,4,HEAVY
2023-09-03,81459,4,HEAVY
2023-09-04,76555,3,BUSY
2023-09-05,71946,3,BUSY
2023-09-06,75804,3,BUSY
2023-09-07,58855,1,LIGHT
2023-09-08,68201,2,MODERATE
2023-09-09,78557,3,BUSY
2023-09-10,84449,4,HEAVY
2023-09-11,66199,2,MODERATE
2023-09-12,70055,3,BUSY
2023-09-13,75059,3,BUSY
2023-09-14,61296,2,MODERATE
2023-09-15,62357,2,MODERATE
2023-09-16,66590,2,MODERATE
2023-09-17,77441,3,BUSY
2023-09-18,62745,2,MODERATE
2023-09-19,67267,2,MODERATE
2023-09-20,64277,2,MODERATE
2023-09-21,66462,2,MODERATE
2023-09-22,72650,3,BUSY
2023-09-23,74884,3,BUSY
2023-09-24,66598,2,MODERATE
2023-09-25,72137,3,BUSY
2023-09-26,55747,1,LIGHT
2023-09-27,66336,2,MODERATE
2023-09-28,54620,1,LIGHT
2023-09-29,66233,2,MODERATE
2023-09-30,87081,4,HEAVY
2023-10-01,88623,4,HEAVY
2023-10-02,80551,4,HEAVY
2023-10-03,79365,3,BUSY
2023-10-04,76526,3,BUSY
2023-10-05,68558,2,MODERATE
2023-10-06,72104,3,BUSY
2023-10-07,72309,3,BUSY
2023-10-08,70515,3,BUSY
2023-10-09,68828,2,MODERATE
2023-10-10,71361,3,BUSY
2023-10-11,72230,3,BUSY
2023-10-12,65937,2,MODERATE
2023-10-13,59304,1,LIGHT
2023-10-14,67785,2,MODERATE
2023-10-15,60659,2,MODERATE
2023-10-16,73859,3,BUSY
2023-10-17,72123,3,BUSY
2023-10-18,68763,2,MODERATE
2023-10-19,66757,2,MODERATE
2023-10-20,69821,2,MODERATE
2023-10-21,65422,2,MODERATE
2023-10-22,77187,3,BUSY
2023-10-23,79693,3,BUSY
2023-10-24,71037,3,BUSY
2023-10-25,65422,2,MODERATE
2023-10-26,62055,2,MODERATE
2023-10-27,63404,2,MODERATE
2023-10-28,47531,0,QUIET
2023-10-29,85497,4,HEAVY
2023-10-30,69654,2,MODERATE
2023-10-31,62269,2,MODERATE
2023-11-01,63710,2,MODERATE
2023-11-02,59335,1,LIGHT
2023-11-03,66048,2,MODERATE
2023-11-04,70250,3,BUSY
2023-11-05,78389,3,BUSY
2023-11-06,66312,2,MODERATE
2023-11-07,61640,2,MODERATE
2023-11-08,58157,1,LIGHT
2023-11-09,56723,1,LIGHT
2023-11-10,56978,1,LIGHT
2023-11-11,71490,3,BUSY
2023-11-12,74807,3,BUSY
2023-11-13,70902,3,BUSY
2023-11-14,69041,2,MODERATE
2023-11-15,71123,3,BUSY
2023-11-16,62494,2,MODERATE
2023-11-17,67140,2,MODERATE
2023-11-18,70686,3,BUSY
2023-11-19,79800,3,BUSY
2023-11-20,67198,2,MODERATE
2023-11-21,69981,2,MODERATE
2023-11-22,65891,2,MODERATE
2023-11-23,45503,0,QUIET
2023-11-24,74843,3,BUSY
2023-11-25,68179,2,MODERATE
2023-11-26,70350,3,BUSY
2023-11-27,58176,1,LIGHT
2023-11-28,58874,1,LIGHT
2023-11-29,61403,2,MODERATE
2023-11-30,58278,1,LIGHT
2023-12-01,56950,1,LIGHT
2023-12-02,66162,2,MODERATE
2023-12-03,70349,3,BUSY
2023-12-04,55909,1,LIGHT
2023-12-05,44547,0,QUIET
2023-12-06,45275,0,QUIET
2023-12-07,56344,1,LIGHT
2023-12-08,54323,1,LIGHT
2023-12-09,68769,2,MODERATE
2023-12-10,73091,3,BUSY
2023-12-11,64882,2,MODERATE
2023-12-12,63021,2,MODERATE
2023-12-13,60928,2,MODERATE
2023-12-14,56049,1,LIGHT
2023-12-15,71037,3,BUSY
2023-12-16,59734,1,LIGHT
2023-12-17,74845,3,BUSY
2023-12-18,61499,2,MODERATE
2023-12-19,64040,2,MODERATE
2023-12-20,67043,2,MODERATE
2023-12-21,59868,1,LIGHT
2023-12-22,40638,0,QUIET
2023-12-23,67906,2,MODERATE
2023-12-24,63519,2,MODERATE
2023-12-25,69294,2,MODERATE
2023-12-26,71488,3,BUSY
2023-12-27,65361,2,MODERATE
2023-12-28,58415,1,LIGHT
2023-12-29,56200,1,LIGHT
2023-12-30,63728,2,MODERATE
2023-12-31,64665,2,MODERATE
2024-01-01,63358,2,MODERATE
2024-01-02,73712,3,BUSY
2024-01-03,65514,2,MODERATE
2024-01-04,59522,1,LIGHT
2024-01-05,57411,1,LIGHT
2024-01-06,68793,2,MODERATE
2024-01-07,76058,3,BUSY
2024-01-08,61511,2,MODERATE
2024-01-09,65901,2,MODERATE
2024-01-10,62499,2,MODERATE
2024-01-11,53055,1,LIGHT
2024-01-12,56588,1,LIGHT
2024-01-13,65962,2,MODERATE
2024-01-14,86107,4,HEAVY
2024-01-15,80964,4,HEAVY
2024-01-16,73016,3,BUSY
2024-01-17,72263,3,BUSY
