date,total_pilgrims
2014-10-01,74923
2014-10-02,64316
2014-10-03,67171
2014-10-04,65206
2014-10-05,85046
2014-10-06,84026
2014-10-07,75405
2014-10-08,29481
2014-10-09,61138
2014-10-10,63529
2014-10-11,76207
2014-10-12,82013
2014-10-13,70827
2014-10-14,62777
2014-10-15,56472
2014-10-16,50323
2014-10-17,55071
2014-10-18,66108
2014-10-19,75757
2014-10-20,55072
2014-10-21,59525
2014-10-22,58179
2014-10-23,57408
2014-10-24,64043
2014-10-25,71381
2014-10-26,77199
2014-10-27,67377
2014-10-28,61681
2014-10-29,53867
2014-10-30,52009
2014-10-31,55713
2014-11-01,68250
2014-11-03,65622
2014-11-04,63157
2014-11-05,52004
2014-11-06,50373
2014-11-07,53247
2014-11-08,62674
2014-11-09,65824
2014-11-10,56796
2014-11-11,55752
2014-11-12,51273
2014-11-13,49394
2014-11-14,54790
2014-11-15,37324
2014-11-17,56786
2014-11-18,59134
2014-11-19,52336
2014-11-20,53162
2014-11-21,59390
2014-11-22,67030
2014-11-23,65190
2014-11-25,62797
2014-11-26,54715
2014-11-27,54421
2014-11-28,62030
2014-11-29,70504
2014-11-30,60229
2014-12-01,57857
2014-12-02,57857
2014-12-03,54688
2014-12-04,51889
2014-12-05,49668
2014-12-06,54732
2014-12-07,74988
2014-12-08,61386
2014-12-09,55310
2014-12-10,48235
2014-12-11,55681
2014-12-12,56761
2014-12-13,66185
2014-12-14,70107
2014-12-15,61151
2014-12-16,49566
2014-12-17,53467
2014-12-18,48531
2014-12-19,50794
2014-12-20,57598
2014-12-21,65033
2014-12-22,56597
2014-12-23,57711
2014-12-24,57874
2014-12-25,54397
2014-12-26,54397
2014-12-27,72640
2014-12-28,74767
2014-12-29,58597
2014-12-30,45468
2014-12-31,36000
2015-01-01,78003
2015-01-02,85077
2015-01-03,46077
2015-01-04,43425
2015-01-05,57462
2015-01-06,56700
2015-01-07,51183
2015-01-08,49084
2015-01-09,50537
2015-01-10,61177
2015-01-11,64283
2015-01-12,53577
2015-01-13,48284
2015-01-14,54908
2015-01-15,59252
2015-01-16,63140
2015-01-17,78651
2015-01-18,83869
2015-01-19,55037
2015-01-20,52004
2015-01-21,46818
2015-01-22,50121
2015-01-23,59516
2015-01-24,70079
2015-01-25,72329
